Date,portfolio_return
2008-01-07,-0.00864008002520666
2008-01-08,-0.030287304121341646
2008-01-09,0.036390884388981706
2008-01-10,-0.004545891431332413
2008-01-11,-0.03410945586370913
2008-01-14,0.026758781306727583
2008-01-15,-0.047126438166172055
2008-01-16,-0.047651922712704936
2008-01-17,-0.001323198744271782
2008-01-18,0.004477541635693189
2008-01-22,-0.029030672494801665
2008-01-23,-0.0777852528833993
2008-01-24,-0.011394810567652024
2008-01-25,-0.032545951154751056
2008-01-28,-0.007360155479811541
2008-01-29,0.006883458171415164
2008-01-30,0.005261569680933185
2008-01-31,0.024603981767688368
2008-02-01,-0.007845373412766761
2008-02-04,-0.012971300678872928
2008-02-05,-0.016335336373687576
2008-02-06,-0.045644249904096414
2008-02-07,-0.000196482656329953
2008-02-08,0.028613229992358498
2008-02-11,0.02499916064989735
2008-02-12,-0.023350381509433207
2008-02-13,0.028670011073734368
2008-02-14,-0.012502909846812177
2008-02-15,-0.01548233487891783
2008-02-19,-0.011064596222266196
2008-02-20,0.01330573728852707
2008-02-21,-0.018353849270673583
2008-02-22,-0.009922416869559617
2008-02-25,0.005407538847841309
2008-02-26,-0.0009456142149085561
2008-02-27,0.019313153600156223
2008-02-28,0.03921939190993045
2008-02-29,-0.032271901071430444
2008-03-03,-0.020850113395786206
2008-03-04,0.017287932863491225
2008-03-05,0.0033142141566323766
2008-03-06,-0.024710785197612304
2008-03-07,0.0014590870046010678
2008-03-10,-0.011303365480981754
2008-03-11,0.05059877955738884
2008-03-12,-0.011179327799302745
2008-03-13,0.014582772148156568
2008-03-14,-0.01036731018300888
2008-03-17,-0.002589358743985446
2008-03-18,0.03794786359992718
2008-03-19,-0.027213621682126217
2008-03-20,0.023763040657372763
2008-03-24,0.03766679530130414
2008-03-25,0.00937782272183148
2008-03-26,0.01919892705600364
2008-03-27,-0.02521130906988991
2008-03-28,0.014056047086459942
2008-03-31,0.00460174302444189
2008-04-01,0.03450375569199722
2008-04-02,-0.009241527431333194
2008-04-03,0.018679533754521017
2008-04-04,0.005883157172437582
2008-04-07,0.01302962745169835
2008-04-08,-0.007175890943574627
2008-04-09,-0.0058851594729512485
2008-04-10,0.010965171552778312
2008-04-11,-0.02817317870034814
2008-04-14,0.004225875171635746
2008-04-15,0.005356034611011967
2008-04-16,0.030948036226684468
2008-04-17,0.004132272247494167
2008-04-18,0.03379052021788883
2008-04-21,0.02333362609547579
2008-04-22,-0.025415649838724404
2008-04-23,0.011008154209685709
2008-04-24,0.022998622297835232
2008-04-25,0.003963921858969216
2008-04-28,0.00991850022032906
2008-04-29,0.01627971888193476
2008-04-30,-0.004112787326951626
2008-05-01,0.02561927399933574
2008-05-02,0.0024393490900647967
2008-05-05,0.0149079648581551
2008-05-06,0.0025052589518169154
2008-05-07,-0.020331444802544948
2008-05-08,0.008985415261240097
2008-05-09,-0.007661507319564498
2008-05-12,0.022190302532169942
2008-05-13,0.006855744765432158
2008-05-14,-0.015841414495396403
2008-05-15,0.012711780927993563
2008-05-16,-0.006230548495533762
2008-05-19,-0.009769737616466252
2008-05-20,0.007972708464502452
2008-05-21,-0.032500047227151614
2008-05-22,-0.003320368024414391
2008-05-23,0.012579470394017508
2008-05-27,0.01977500613048125
2008-05-28,0.004888692395944617
2008-05-29,-0.0012135532704066433
2008-05-30,0.007747647257306924
2008-06-02,-0.011776250204841156
2008-06-03,-0.007519038112903379
2008-06-04,-0.0020651418655947777
2008-06-05,0.022660465708494004
2008-06-06,-0.01798877627190025
2008-06-09,-0.006904385887065836
2008-06-10,0.01352265965995927
2008-06-11,-0.02052233592528846
2008-06-12,-0.030508521979867427
2008-06-13,-0.0002227335662169526
2008-06-16,0.010584792376308943
2008-06-17,0.006882895910954137
2008-06-18,-0.015695293844194318
2008-06-19,0.007972532180704314
2008-06-20,-0.023496042172238354
2008-06-23,-0.006309502355878438
2008-06-24,-0.00017409526043332094
2008-06-25,0.020002510336905786
2008-06-26,-0.03873445655901152
2008-06-27,0.008341853938158054
2008-06-30,-0.008989039661254774
2008-07-01,0.02687506485889556
2008-07-02,-0.01695671200900839
2008-07-03,0.009127023444564956
2008-07-07,0.018674209544052234
2008-07-08,0.022615426978028916
2008-07-09,-0.010824352027412311
2008-07-10,0.0012181332610500756
2008-07-11,-0.02145899316425156
2008-07-14,0.010142594348353847
2008-07-15,-0.021207852105427798
2008-07-16,0.020009492920044007
2008-07-17,-0.004688495128565199
2008-07-18,-0.02724518484447254
2008-07-21,0.0044061802925532976
2008-07-22,-0.01147137544636885
2008-07-23,0.010691494038013432
2008-07-24,-0.03424904841457698
2008-07-25,0.011637783530173565
2008-07-28,-0.030669125469636724
2008-07-29,0.024124807490520574
2008-07-30,0.015326243536639667
2008-07-31,-0.008178731355162127
2008-08-01,-0.005023852204636051
2008-08-04,-0.004529041776516131
2008-08-05,0.03751980398767017
2008-08-06,0.010603500639143504
2008-08-07,-0.005195686437698922
2008-08-08,0.036389412625210824
2008-08-11,0.014736951746758724
2008-08-12,-0.0040613666290026575
